,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Sección,Componente,Descripción,Fase,,,,,,,,,,,,,,,,,,,,,
,Portal de acceso,Login con número telefónico,El usuario podrá acceder con su número y contraseña,,,,,,,,,,,,,,,,,,,,,,
,Portal de acceso,Login email,El usuario o experto podrá hacer login con el correo electrónico y contraseña,1,,,,,,,,,,,,,,,,,,,,,
,Portal de acceso,Login SSO,El usuario o experto podrá hacer login con redes sociales o aplicaciones soportadas SSO,1,,,,,,,,,,,,,,,,,,,,,
,Portal de acceso,Recuperación de contraseña,El usuario o experto podrá recuperar su cuenta de correo electrónico si olvidó su contraseña por medio de correo electrónico o número telefónico,1,,,,,,,,,,,,,,,,,,,,,
,Portal de acceso,Sincronización email y SSO,El sistema creará un enlace entre una cuenta de email y SSO en caso que el correo sea el mismo (El SSO no recupera contraseña),1,,,,,,,,,,,,,,,,,,,,,
,Portal de acceso,Sincronización de perfiles,El usuario puede ser también un experto,1,,,,,,,,,,,,,,,,,,,,,
,Portal de acceso,Suspensión de actividades,El usuario o experto no podrá acceder si fue marcado como suspendido,1,,,,,,,,,,,,,,,,,,,,,
,Portal de registro,"Registro con email, teléfono y password",El usuario o experto se podrá registrar con un correo electrónico o número de teléfono no registrado previamente,1,,,,,,,,,,,,,,,,,,,,,
,Portal de registro,Registro con SSO,"El usuario o experto se podrá registrar con un medio SSO, en caso que ya esté registrado no podrá continuar y se sugerirá hacer login",1,,,,,,,,,,,,,,,,,,,,,
,Portal de registro,Registro ambos casos datos personales,"El usuario o experto deberá llenar datos básicos de registro (Nombre, teléfono electrónico, País de residencia y Orientación sexual) Si se identifica como experto, deberá anexar un documento que lo acredite como tal",1,,,,,,,,,,,,,,,,,,,,,
,Portal de inicio,Inicio de sesión usuario,"Si el usuario no tiene servicios contratados su landeo será en el en el directorio de expertos
Si el usuario será redireccionado al resumen servicio que tiene contratado.
Si el usuario tiene ambos servicios será redireccionado a la sección de nutrición. SI el horario de login concuerda con sus horas de entrenamiento, redirigir a la sección de entrenamiento. ",1,,,,,,,,,,,,,,,,,,,,,
,Portal de inicio,Inicio de sesión experto,"El experto landeará al portal de resumen de actividades. Si también está inscrito como usuario, siempre landerá al resumen de actividades como experto. Si es su primer login es muy probable que vea su registro pendiente, hasta que su documento sea validado",1,,,,,,,,,,,,,,,,,,,,,
,Portal directorio,Directorio de expertos,"El usuario podrá navegar en el directorio de expertos, los cuales se presentarán en sintonía de diferentes filtros, el ordenamiento jugará con las reglas de posicionamiento orgánico y pagado",1,,,,,,,,,,,,,,,,,,,,,
,Portal directorio,Tarjeta de experto,"El usuario podrá ver el perfil del experto seleccionado desde cualquier parte de la app y poder regresar a su navegación anterior. El perfil mantendrá información relevante al experto, nombre, ranking, evidencias, formas de trabajo, costos, etc. Así como la posibilidad de suscribirse a alguno de sus planes",1,,,,,,,,,,,,,,,,,,,,,
,Portal directorio,Pasarela de pagos,"Si el usuario decide suscribirse al servicio de un experto, se abrirá una vista de pasarela de pago, donde podrá realizar su aportación y pasará al portal de suscripción definido por el experto",1,,,,,,,,,,,,,,,,,,,,,
,Portal de suscripción,Template de preguntas personales,"Al pagar el servicio de nutrición con un experto, este deberá contestar, detallar y evidenciar según sea la forma de trabajo del experto y las preguntas definidas con el fin de crear su perfil personal. Hasta que este llene este formulario y el del o los servicios contratados, el usuario aparecerá en el listado de expertos pero en el status ""Pendiente"". El siguiente template de preguntas a lanzar será basado en, si el usuario está suscrito a un plan de doble servicio, siempre aterrizará con el template de preguntas de nutrición y al finalizar será redireccionado al template de preguntas deportivas si es un solo servicio, será canalizado al template correspondiente",1,,,,,,,,,,,,,,,,,,,,,
